date,product_type,product_name,unit,min_price,max_price,average_price,year,month,season
2014-02-25,SEBZE,BIBER SIVRI,KG,1.3,3.5,2.4,2014,2,Winter
2014-02-25,SEBZE,KABAK TAZE,KG,0.8,1.8,1.3,2014,2,Winter
2014-02-25,SEBZE,PATLICAN UZUN,KG,1.0,2.8,1.9,2014,2,Winter
2014-02-25,SEBZE,SOGAN KURU,KG,0.2,0.55,0.38,2014,2,Winter
2014-02-25,SEBZE,DOMATES SALKIM,KG,1.0,3.3,2.15,2014,2,Winter
2014-02-25,SEBZE,SALATALIK SILOR,KG,2.5,5.0,3.75,2014,2,Winter
2014-02-26,SEBZE,SALATALIK SILOR,KG,2.5,5.0,3.75,2014,2,Winter
2014-02-26,SEBZE,BIBER SIVRI,KG,1.3,3.5,2.4,2014,2,Winter
2014-02-26,SEBZE,KABAK TAZE,KG,0.8,1.8,1.3,2014,2,Winter
2014-02-26,SEBZE,PATLICAN UZUN,KG,1.0,3.0,2.0,2014,2,Winter
2014-02-26,SEBZE,SOGAN KURU,KG,0.2,0.55,0.38,2014,2,Winter
2014-02-26,SEBZE,DOMATES SALKIM,KG,1.0,3.3,2.15,2014,2,Winter
2014-02-27,SEBZE,SOGAN KURU,KG,0.2,0.55,0.38,2014,2,Winter
2014-02-27,SEBZE,DOMATES SALKIM,KG,1.0,3.0,2.0,2014,2,Winter
2014-02-27,SEBZE,SALATALIK SILOR,KG,2.5,4.8,3.65,2014,2,Winter
2014-02-27,SEBZE,BIBER SIVRI,KG,1.3,3.5,2.4,2014,2,Winter
2014-02-27,SEBZE,KABAK TAZE,KG,0.75,1.6,1.18,2014,2,Winter
2014-02-27,SEBZE,PATLICAN UZUN,KG,1.0,2.8,1.9,2014,2,Winter
2014-02-28,SEBZE,DOMATES SALKIM,KG,1.0,3.3,2.15,2014,2,Winter
2014-02-28,SEBZE,SALATALIK SILOR,KG,2.0,4.5,3.25,2014,2,Winter
2014-02-28,SEBZE,SOGAN KURU,KG,0.2,0.55,0.38,2014,2,Winter
2014-02-28,SEBZE,BIBER SIVRI,KG,1.5,3.5,2.5,2014,2,Winter
2014-02-28,SEBZE,KABAK TAZE,KG,0.75,1.7,1.23,2014,2,Winter
2014-02-28,SEBZE,PATLICAN UZUN,KG,1.0,3.0,2.0,2014,2,Winter
2014-03-03,SEBZE,BIBER SIVRI,KG,1.5,3.5,2.5,2014,3,Spring
2014-03-03,SEBZE,KABAK TAZE,KG,0.75,1.7,1.23,2014,3,Spring
2014-03-03,SEBZE,PATLICAN UZUN,KG,1.0,3.0,2.0,2014,3,Spring
2014-03-03,SEBZE,SOGAN KURU,KG,0.2,0.55,0.38,2014,3,Spring
2014-03-03,SEBZE,DOMATES SALKIM,KG,1.0,3.3,2.15,2014,3,Spring
2014-03-03,SEBZE,SALATALIK SILOR,KG,2.0,4.5,3.25,2014,3,Spring
2014-03-04,SEBZE,BIBER SIVRI,KG,1.5,3.7,2.6,2014,3,Spring
2014-03-04,SEBZE,KABAK TAZE,KG,0.75,1.7,1.23,2014,3,Spring
2014-03-04,SEBZE,PATLICAN UZUN,KG,1.0,3.0,2.0,2014,3,Spring
2014-03-04,SEBZE,SOGAN KURU,KG,0.2,0.55,0.38,2014,3,Spring
2014-03-04,SEBZE,DOMATES SALKIM,KG,1.0,3.3,2.15,2014,3,Spring
2014-03-04,SEBZE,SALATALIK SILOR,KG,2.0,4.5,3.25,2014,3,Spring
2014-03-05,SEBZE,SOGAN KURU,KG,0.2,0.55,0.38,2014,3,Spring
2014-03-05,SEBZE,DOMATES SALKIM,KG,1.0,3.2,2.1,2014,3,Spring
2014-03-05,SEBZE,SALATALIK SILOR,KG,2.0,4.5,3.25,2014,3,Spring
2014-03-05,SEBZE,BIBER SIVRI,KG,1.5,3.7,2.6,2014,3,Spring
2014-03-05,SEBZE,KABAK TAZE,KG,0.7,1.6,1.15,2014,3,Spring
2014-03-05,SEBZE,PATLICAN UZUN,KG,1.5,3.3,2.4,2014,3,Spring
2014-03-06,SEBZE,DOMATES SALKIM,KG,1.0,3.0,2.0,2014,3,Spring
2014-03-06,SEBZE,SALATALIK SILOR,KG,2.0,4.5,3.25,2014,3,Spring
2014-03-06,SEBZE,BIBER SIVRI,KG,1.5,3.8,2.65,2014,3,Spring
2014-03-06,SEBZE,KABAK TAZE,KG,0.7,1.7,1.2,2014,3,Spring
2014-03-06,SEBZE,PATLICAN UZUN,KG,1.5,3.5,2.5,2014,3,Spring
2014-03-06,SEBZE,SOGAN KURU,KG,0.2,0.55,0.38,2014,3,Spring
2014-03-07,SEBZE,BIBER SIVRI,KG,1.5,4.0,2.75,2014,3,Spring
2014-03-07,SEBZE,KABAK TAZE,KG,0.7,1.8,1.25,2014,3,Spring
2014-03-07,SEBZE,PATLICAN UZUN,KG,1.5,3.8,2.65,2014,3,Spring
2014-03-07,SEBZE,SOGAN KURU,KG,0.2,0.55,0.38,2014,3,Spring
2014-03-07,SEBZE,DOMATES SALKIM,KG,1.0,3.3,2.15,2014,3,Spring
2014-03-07,SEBZE,SALATALIK SILOR,KG,2.0,4.8,3.4,2014,3,Spring
2014-03-10,SEBZE,SALATALIK SILOR,KG,2.0,4.5,3.25,2014,3,Spring
2014-03-10,SEBZE,BIBER SIVRI,KG,1.5,4.8,3.15,2014,3,Spring
2014-03-10,SEBZE,KABAK TAZE,KG,0.7,1.8,1.25,2014,3,Spring
