BULTEN_TARIHI,MAL_TIPI,MAL_ADI,BIRIM,ASGARI_FIYAT,AZAMI_UCRET,ORTALAMA_UCRET
12/24/2025,SEBZE,TURP  KIRMIZI,KG,10,20.0,15.0
12/24/2025,SEBZE,Y.MAYDONOZ,BAĞ,3,7.0,5.0
12/24/2025,SEBZE,Y.REYHAN,ADET,8,20.0,14.0
12/24/2025,SEBZE,Y.TERE,BAĞ,3,7.0,5.0
12/24/2025,SEBZE,ARMUT  DİĞER,KG,50,90.0,70.0
12/24/2025,SEBZE,ARMUT AKÇA,KG,50,100.0,75.0
12/24/2025,SEBZE,CENNET ELMASI,KG,50,100.0,75.0
12/24/2025,SEBZE,ELMA  DİĞER,KG,40,75.0,57.5
12/24/2025,SEBZE,ELMA  STARKING,KG,40,70.0,55.0
12/24/2025,SEBZE,ERİK  ANJELIKA,KG,80,120.0,100.0
12/24/2025,SEBZE,KESTANE,KG,100,250.0,175.0
12/24/2025,SEBZE,LİMON  YENİ (MAYER),KG,25,50.0,37.5
12/24/2025,SEBZE,LİMON LAMAS,KG,40,70.0,55.0
12/24/2025,SEBZE,MUZ  YERLI,KG,50,65.0,57.5
12/24/2025,SEBZE,PORTAKAL  ,KG,15,40.0,27.5
12/24/2025,SEBZE,ÜZÜM  SİYAH,KG,80,100.0,90.0
12/24/2025,SEBZE,AVAKADO,ADET,40,70.0,55.0
12/24/2025,SEBZE,MANGO,ADET,70,85.0,77.5
12/24/2025,SEBZE,ZENCEFİL,KG,100,250.0,175.0
12/25/2025,SEBZE,BİBER  SİVRİ,KG,20,35.0,27.5
12/25/2025,SEBZE,BİBER KIRMIZI,KG,45,70.0,57.5
12/25/2025,SEBZE,BROKOLI,KG,20,40.0,30.0
12/25/2025,SEBZE,DENIZ BÖRÜLCESİ,ADET,5,10.0,7.5
12/25/2025,SEBZE,DOMATES CHERRY,KG,50,65.0,57.5
12/25/2025,SEBZE,DOMATES PEMBE,KG,55,70.0,62.5
12/25/2025,SEBZE,DOMATES SERA,KG,35,45.0,40.0
12/25/2025,SEBZE,FASULYE   CALI,KG,80,120.0,100.0
12/25/2025,SEBZE,HAVUÇ(TAKOZ),KG,10,15.0,12.5
12/25/2025,SEBZE,KABAK  BAL,KG,20,30.0,25.0
