,product_name,year,district,planted_area,production_amount
279,KABAK TAZE,2024,İzmir(Tire),,
280,KABAK TAZE,2024,İzmir(Torbalı),157,473
281,KABAK TAZE,2024,İzmir(Ödemiş),50,175
282,KABAK TAZE,2025,İzmir(Bayındır),132,330
283,KABAK TAZE,2025,İzmir(Bergama),172,304
284,KABAK TAZE,2025,İzmir(Menderes),330,660
285,KABAK TAZE,2025,İzmir(Tire),,
286,KABAK TAZE,2025,İzmir(Torbalı),124,376
287,KABAK TAZE,2025,İzmir(Ödemiş),50,175
288,KARPUZ,2014,İzmir(Bayındır),4000,20000
289,KARPUZ,2014,İzmir(Bergama),1400,3080
290,KARPUZ,2014,İzmir(Menderes),4860,19440
291,KARPUZ,2014,İzmir(Tire),14000,56000
292,KARPUZ,2014,İzmir(Torbalı),4500,19125
293,KARPUZ,2014,İzmir(Ödemiş),15000,97500
294,KARPUZ,2015,İzmir(Bayındır),4000,20028
295,KARPUZ,2015,İzmir(Bergama),1400,3084
296,KARPUZ,2015,İzmir(Menderes),4860,19469
297,KARPUZ,2015,İzmir(Tire),13450,53881
298,KARPUZ,2015,İzmir(Torbalı),2240,10096
299,KARPUZ,2015,İzmir(Ödemiş),15000,97635
300,KARPUZ,2016,İzmir(Bayındır),4000,20000
301,KARPUZ,2016,İzmir(Bergama),1400,3080
302,KARPUZ,2016,İzmir(Menderes),4860,19440
303,KARPUZ,2016,İzmir(Tire),13000,39000
304,KARPUZ,2016,İzmir(Torbalı),1850,8325
305,KARPUZ,2016,İzmir(Ödemiş),15000,97500
306,KARPUZ,2017,İzmir(Bayındır),4000,20000
307,KARPUZ,2017,İzmir(Bergama),1250,2750
308,KARPUZ,2017,İzmir(Menderes),4660,18640
309,KARPUZ,2017,İzmir(Tire),13000,39000
310,KARPUZ,2017,İzmir(Torbalı),1160,5220
311,KARPUZ,2017,İzmir(Ödemiş),15000,97500
312,KARPUZ,2018,İzmir(Bayındır),4000,20000
313,KARPUZ,2018,İzmir(Bergama),1250,2750
314,KARPUZ,2018,İzmir(Menderes),4660,18640
315,KARPUZ,2018,İzmir(Tire),5000,15000
316,KARPUZ,2018,İzmir(Torbalı),1130,5085
317,KARPUZ,2018,İzmir(Ödemiş),12000,78000
318,KARPUZ,2019,İzmir(Bayındır),2200,11000
319,KARPUZ,2019,İzmir(Bergama),1250,2750
320,KARPUZ,2019,İzmir(Menderes),4660,18640
321,KARPUZ,2019,İzmir(Tire),4750,14250
322,KARPUZ,2019,İzmir(Torbalı),930,4092
323,KARPUZ,2019,İzmir(Ödemiş),11000,71500
