,TARIH,MAL_TURU,MAL_ADI,BIRIM,ASGARI_UCRET,AZAMI_UCRET,ORTALAMA_UCRET
298,01/04/2024,SEBZE,BİBER KÖY(MAZO),kg,10.0,55.0,32.5
299,01/04/2024,SEBZE,LAHANA KARA,kg,10.0,20.0,15.0
300,01/04/2024,MEYVE,ELMA FUJİ,kg,9.0,32.0,20.5
301,01/04/2024,MEYVE,MUZ  YERLI,kg,10.0,50.0,30.0
302,01/04/2024,MEYVE,PORTAKAL  ,kg,10.0,30.0,20.0
303,01/04/2024,MEYVE,PORTAKAL  VALENCIA,kg,8.0,20.0,14.0
304,01/04/2024,İTHAL,KIVI  İTHAL,kg,20.0,70.0,45.0
305,01/04/2024,MEYVE,LİMON DİĞER ,kg,8.0,14.0,11.0
306,01/04/2024,SEBZE,Y.MAYDONOZ,bağ,1.25,7.0,4.13
307,01/04/2024,SEBZE,Y.DEREOTU,bağ,1.25,8.0,4.63
308,01/04/2024,SEBZE,Y.ROKA,bağ,1.25,7.0,4.13
309,01/04/2024,SEBZE,Y.TERE,bağ,1.0,7.0,4.0
310,01/04/2024,SEBZE,Y.NANE,bağ,1.25,7.0,4.13
311,01/04/2024,MEYVE,ERİK  ANJELIKA,kg,10.0,60.0,35.0
312,01/04/2024,MEYVE,ÜZÜM  SULTANİYE,kg,10.0,50.0,30.0
313,01/04/2024,MEYVE,ELMA GSMIT(İYİ TARIM),kg,10.0,45.0,27.5
314,01/04/2024,MEYVE,ELMA  GOLDEN,kg,6.0,33.0,19.5
315,01/04/2024,SEBZE,KAVUN  SERA,kg,10.0,27.0,18.5
316,01/04/2024,İTHAL,AVAKADO,adet,10.0,27.0,18.5
317,01/04/2024,İTHAL,ANANAS,adet,20.0,67.0,43.5
318,01/04/2024,İTHAL,MUZ  ITHAL,kg,20.0,66.0,43.0
319,01/04/2024,İTHAL,HINDISTAN CEVIZI,adet,10.0,45.0,27.5
320,01/04/2024,MEYVE,PORTAKAL   FINIKE,kg,10.0,17.0,13.5
321,01/04/2024,SEBZE,BROKOLI,kg,5.0,25.0,15.0
322,01/04/2024,MEYVE,CENNET ELMASI,kg,10.0,70.0,40.0
323,01/04/2024,MEYVE,PORTAKAL  SIKMALIK,kg,8.0,12.0,10.0
324,01/04/2024,MEYVE,MUŞMULA,kg,7.0,35.0,21.0
325,01/04/2024,SEBZE,Y.REYHAN,adet,4.0,15.0,9.5
326,01/04/2024,SEBZE,BAKLA,kg,7.0,40.0,23.5
327,01/04/2024,SEBZE,BORULCE,kg,25.0,60.0,42.5
328,01/04/2024,SEBZE,BİBER  SİVRİ,kg,10.0,55.0,32.5
329,01/04/2024,SEBZE,BİBER  DOLMA,kg,8.0,47.0,27.5
330,01/05/2024,SEBZE,TURP  KIRMIZI,kg,4.0,20.0,12.0
331,01/05/2024,SEBZE,SEMIZ OTU,adet,8.0,15.0,11.5
332,01/05/2024,SEBZE,YAPRAK  SALAMURA,kg,10.0,50.0,30.0
333,01/05/2024,SEBZE,SARIMSAK  KURU,kg,15.0,80.0,47.5
334,01/05/2024,SEBZE,PATATES  CALMA,kg,5.0,23.0,14.0
