,URUN_ADI,ORTALAMA_FIYAT,YIL,SEZON
381,SALATALIK  SİLOR,1.5,2014,Summer
382,KARPUZ,0.25,2014,Summer
383,DOMATES  SALKIM,1.75,2014,Summer
384,SALATALIK  SİLOR,1.5,2014,Summer
385,KARPUZ,0.25,2014,Summer
386,KARPUZ,0.25,2014,Summer
387,DOMATES  SALKIM,1.85,2014,Summer
388,SALATALIK  SİLOR,1.5,2014,Summer
389,DOMATES  SALKIM,1.85,2014,Summer
390,SALATALIK  SİLOR,1.5,2014,Summer
391,KARPUZ,0.25,2014,Summer
392,DOMATES  SALKIM,1.75,2014,Summer
393,SALATALIK  SİLOR,1.5,2014,Summer
394,KARPUZ,0.25,2014,Summer
395,DOMATES  SALKIM,2.0,2014,Summer
396,SALATALIK  SİLOR,1.5,2014,Summer
397,KARPUZ,0.25,2014,Summer
398,KARPUZ,0.33,2014,Summer
399,DOMATES  SALKIM,1.68,2014,Summer
400,SALATALIK  SİLOR,1.28,2014,Summer
401,DOMATES  SALKIM,1.9,2014,Fall
402,SALATALIK  SİLOR,1.5,2014,Fall
403,KARPUZ,0.28,2014,Fall
404,DOMATES  SALKIM,1.75,2014,Fall
405,SALATALIK  SİLOR,1.5,2014,Fall
406,KARPUZ,0.33,2014,Fall
407,KARPUZ,0.33,2014,Fall
408,DOMATES  SALKIM,1.9,2014,Fall
409,SALATALIK  SİLOR,1.3,2014,Fall
410,DOMATES  SALKIM,1.9,2014,Fall
411,SALATALIK  SİLOR,1.3,2014,Fall
412,KARPUZ,0.33,2014,Fall
413,DOMATES  SALKIM,1.68,2014,Fall
414,SALATALIK  SİLOR,1.28,2014,Fall
415,KARPUZ,0.33,2014,Fall
416,DOMATES  SALKIM,1.88,2014,Fall
417,SALATALIK  SİLOR,1.25,2014,Fall
418,KARPUZ,0.38,2014,Fall
419,DOMATES  SALKIM,1.68,2014,Fall
420,KARPUZ,0.33,2014,Fall
421,SALATALIK  SİLOR,1.15,2014,Fall
422,DOMATES  SALKIM,1.68,2014,Fall
423,SALATALIK  SİLOR,1.15,2014,Fall
424,KARPUZ,0.33,2014,Fall
425,SALATALIK  SİLOR,1.15,2014,Fall
426,DOMATES  SALKIM,1.6,2014,Fall
427,KARPUZ,0.33,2014,Fall
428,SALATALIK  SİLOR,1.15,2014,Fall
429,DOMATES  SALKIM,1.6,2014,Fall
430,KARPUZ,0.33,2014,Fall
431,DOMATES  SALKIM,1.6,2014,Fall
432,SALATALIK  SİLOR,1.2,2014,Fall
433,KARPUZ,0.38,2014,Fall
434,DOMATES  SALKIM,1.88,2014,Fall
435,SALATALIK  SİLOR,1.25,2014,Fall
436,KARPUZ,0.38,2014,Fall
437,DOMATES  SALKIM,1.88,2014,Fall
438,SALATALIK  SİLOR,1.25,2014,Fall
439,KARPUZ,0.38,2014,Fall
440,SALATALIK  SİLOR,1.25,2014,Fall
441,KARPUZ,0.38,2014,Fall
442,DOMATES  SALKIM,1.88,2014,Fall
443,KARPUZ,0.38,2014,Fall
444,SALATALIK  SİLOR,1.25,2014,Fall
445,DOMATES  SALKIM,1.88,2014,Fall
446,KARPUZ,0.38,2014,Fall
447,DOMATES  SALKIM,1.88,2014,Fall
448,SALATALIK  SİLOR,1.28,2014,Fall
449,DOMATES  SALKIM,2.5,2014,Fall
450,KARPUZ,0.38,2014,Fall
451,SALATALIK  SİLOR,1.28,2014,Fall
452,KARPUZ,0.38,2014,Fall
453,SALATALIK  SİLOR,1.28,2014,Fall
454,DOMATES  SALKIM,2.5,2014,Fall
455,DOMATES  SALKIM,2.5,2014,Fall
456,SALATALIK  SİLOR,1.28,2014,Fall
457,KARPUZ,0.45,2014,Fall
458,DOMATES  SALKIM,2.5,2014,Fall
459,SALATALIK  SİLOR,1.28,2014,Fall
460,KARPUZ,0.45,2014,Fall
461,DOMATES  SALKIM,2.5,2014,Fall
462,SALATALIK  SİLOR,1.28,2014,Fall
463,KARPUZ,0.45,2014,Fall
464,SALATALIK  SİLOR,1.28,2014,Fall
465,DOMATES  SALKIM,2.65,2014,Fall
466,KARPUZ,0.45,2014,Fall
467,DOMATES  SALKIM,2.65,2014,Fall
468,SALATALIK  SİLOR,1.28,2014,Fall
469,KARPUZ,0.45,2014,Fall
470,DOMATES  SALKIM,2.5,2014,Fall
471,SALATALIK  SİLOR,1.28,2014,Fall
472,KARPUZ,0.45,2014,Fall
473,DOMATES  SALKIM,2.5,2014,Fall
474,SALATALIK  SİLOR,1.28,2014,Fall
475,KARPUZ,0.45,2014,Fall
476,DOMATES  SALKIM,1.63,2014,Fall
477,SALATALIK  SİLOR,1.3,2014,Fall
478,KARPUZ,0.23,2014,Fall
479,DOMATES  SALKIM,1.63,2014,Fall
480,SALATALIK  SİLOR,1.3,2014,Fall
481,KARPUZ,0.23,2014,Fall
482,DOMATES  SALKIM,1.63,2014,Fall
483,KARPUZ,0.23,2014,Fall
484,SALATALIK  SİLOR,1.3,2014,Fall
485,DOMATES  SALKIM,2.5,2014,Fall
486,SALATALIK  SİLOR,1.28,2014,Fall
487,KARPUZ,0.45,2014,Fall
488,DOMATES  SALKIM,2.5,2014,Fall
489,SALATALIK  SİLOR,1.28,2014,Fall
490,KARPUZ,0.43,2014,Fall
491,DOMATES  SALKIM,2.5,2014,Fall
492,SALATALIK  SİLOR,1.28,2014,Fall
493,KARPUZ,0.4,2014,Fall
494,DOMATES  SALKIM,2.5,2014,Fall
495,SALATALIK  SİLOR,1.28,2014,Fall
496,KARPUZ,0.4,2014,Fall
497,DOMATES  SALKIM,2.5,2014,Fall
498,SALATALIK  SİLOR,1.2,2014,Fall
499,KARPUZ,0.4,2014,Fall
500,DOMATES  SALKIM,2.5,2014,Fall
501,SALATALIK  SİLOR,1.15,2014,Fall
502,KARPUZ,0.4,2014,Fall
503,KARPUZ,0.4,2014,Fall
504,DOMATES  SALKIM,2.5,2014,Fall
505,SALATALIK  SİLOR,1.15,2014,Fall
506,KARPUZ,0.4,2014,Fall
507,DOMATES  SALKIM,2.5,2014,Fall
508,SALATALIK  SİLOR,1.05,2014,Fall
509,DOMATES  SALKIM,2.5,2014,Fall
510,SALATALIK  SİLOR,1.15,2014,Fall
511,KARPUZ,0.4,2014,Fall
512,DOMATES  SALKIM,2.5,2014,Fall
513,SALATALIK  SİLOR,1.15,2014,Fall
514,KARPUZ,0.4,2014,Fall
515,DOMATES  SALKIM,2.5,2014,Fall
516,SALATALIK  SİLOR,1.15,2014,Fall
517,KARPUZ,0.4,2014,Fall
518,KARPUZ,0.4,2014,Fall
519,DOMATES  SALKIM,2.5,2014,Fall
520,SALATALIK  SİLOR,1.1,2014,Fall
521,DOMATES  SALKIM,2.0,2014,Fall
522,SALATALIK  SİLOR,1.05,2014,Fall
523,KARPUZ,0.45,2014,Fall
524,DOMATES  SALKIM,2.0,2014,Fall
525,SALATALIK  SİLOR,1.05,2014,Fall
526,KARPUZ,0.45,2014,Fall
527,DOMATES  SALKIM,2.5,2014,Fall
528,SALATALIK  SİLOR,1.05,2014,Fall
529,KARPUZ,0.45,2014,Fall
530,DOMATES  SALKIM,2.5,2014,Fall
531,SALATALIK  SİLOR,1.1,2014,Fall
532,KARPUZ,0.45,2014,Fall
533,KARPUZ,0.45,2014,Fall
534,DOMATES  SALKIM,2.5,2014,Fall
535,SALATALIK  SİLOR,1.25,2014,Fall
536,DOMATES  SALKIM,2.25,2014,Fall
537,KARPUZ,0.45,2014,Fall
538,SALATALIK  SİLOR,1.25,2014,Fall
539,DOMATES  SALKIM,2.25,2014,Fall
540,SALATALIK  SİLOR,1.65,2014,Fall
541,KARPUZ,0.45,2014,Fall
542,DOMATES  SALKIM,2.25,2014,Fall
543,SALATALIK  SİLOR,1.65,2014,Fall
544,KARPUZ,0.45,2014,Fall
545,KARPUZ,0.45,2014,Fall
546,DOMATES  SALKIM,2.25,2014,Fall
547,SALATALIK  SİLOR,1.65,2014,Fall
548,DOMATES  SALKIM,2.4,2014,Fall
549,SALATALIK  SİLOR,1.75,2014,Fall
550,KARPUZ,0.45,2014,Fall
551,DOMATES  SALKIM,2.5,2014,Fall
552,SALATALIK  SİLOR,1.75,2014,Fall
553,KARPUZ,0.45,2014,Fall
554,KARPUZ,0.45,2014,Fall
555,DOMATES  SALKIM,2.5,2014,Fall
556,SALATALIK  SİLOR,1.75,2014,Fall
557,DOMATES  SALKIM,2.5,2014,Fall
558,SALATALIK  SİLOR,1.65,2014,Fall
559,KARPUZ,0.45,2014,Fall
560,KARPUZ,0.45,2014,Fall
561,DOMATES  SALKIM,2.5,2014,Fall
562,SALATALIK  SİLOR,1.65,2014,Fall
563,DOMATES  SALKIM,2.5,2014,Fall
564,SALATALIK  SİLOR,1.38,2014,Fall
565,KARPUZ,0.45,2014,Fall
566,DOMATES  SALKIM,2.5,2014,Fall
567,KARPUZ,0.45,2014,Fall
568,SALATALIK  SİLOR,1.63,2014,Fall
569,KARPUZ,0.45,2014,Fall
570,DOMATES  SALKIM,2.5,2014,Fall
571,SALATALIK  SİLOR,1.63,2014,Fall
572,DOMATES  SALKIM,2.5,2014,Fall
573,SALATALIK  SİLOR,1.38,2014,Fall
574,KARPUZ,0.45,2014,Fall
575,DOMATES  SALKIM,2.5,2014,Fall
576,SALATALIK  SİLOR,1.38,2014,Fall
577,KARPUZ,0.45,2014,Fall
