,TARIH,MAL_TURU,MAL_ADI,BIRIM,ASGARI_UCRET,AZAMI_UCRET,ORTALAMA_UCRET
25192,2024-09-23T00:00:00,SEBZE,SALATALIK ÇENGELKÖY,kg,15.0,25.0,20.0
25193,2024-09-23T00:00:00,SEBZE,Y.ROKA,bağ,3.0,6.0,4.5
25194,2024-09-23T00:00:00,SEBZE,Y.TERE,bağ,3.0,7.0,5.0
25195,2024-09-23T00:00:00,SEBZE,Y.NANE,bağ,3.0,6.0,4.5
25196,2024-09-23T00:00:00,MEYVE,INCIR,kg,40.0,100.0,70.0
25197,2024-09-23T00:00:00,MEYVE,ERİK  ANJELIKA,kg,10.0,20.0,15.0
25198,2024-09-23T00:00:00,MEYVE,ÜZÜM  SULTANİYE,kg,20.0,50.0,35.0
25199,2024-09-23T00:00:00,MEYVE,ELMA  GOLDEN,kg,10.0,25.0,17.5
25200,2024-09-23T00:00:00,MEYVE,ARMUT  DİĞER,kg,15.0,40.0,27.5
25201,2024-09-23T00:00:00,SEBZE,KAVUN  SERA,kg,10.0,20.0,15.0
25202,2024-09-23T00:00:00,MEYVE,NEKTARIN  BEYAZ,kg,20.0,50.0,35.0
25203,2024-09-23T00:00:00,İTHAL,AVAKADO,adet,25.0,55.0,40.0
25204,2024-09-23T00:00:00,İTHAL,ANANAS,adet,35.0,72.0,53.5
25205,2024-09-23T00:00:00,İTHAL,MUZ  ITHAL,kg,45.0,80.0,62.5
25206,2024-09-23T00:00:00,MEYVE,NEKTARIN KIRMIZI,kg,20.0,40.0,30.0
25207,2024-09-23T00:00:00,SEBZE,BROKOLI,kg,25.0,45.0,35.0
25208,2024-09-23T00:00:00,MEYVE,CENNET ELMASI,kg,15.0,35.0,25.0
25209,2024-09-23T00:00:00,MEYVE,ŞEFTALI,kg,20.0,45.0,32.5
25210,2024-09-23T00:00:00,SEBZE,Y.REYHAN,adet,8.0,20.0,14.0
25211,2024-09-23T00:00:00,SEBZE,BAMYA,kg,50.0,130.0,90.0
25212,2024-09-23T00:00:00,SEBZE,BORULCE,kg,50.0,100.0,75.0
25213,2024-09-23T00:00:00,SEBZE,BİBER  SİVRİ,kg,20.0,40.0,30.0
25214,2024-09-23T00:00:00,SEBZE,BİBER  DOLMA,kg,15.0,40.0,27.5
25215,2024-09-23T00:00:00,SEBZE,ENGINAR,adet,20.0,35.0,27.5
25216,2024-09-23T00:00:00,SEBZE,FASULYE   AYSE,kg,50.0,100.0,75.0
25217,2024-09-23T00:00:00,SEBZE,FASULYE   CALI,kg,40.0,90.0,65.0
25218,2024-09-23T00:00:00,SEBZE,BARBUNYA TAZE,kg,50.0,100.0,75.0
25219,2024-09-23T00:00:00,SEBZE,HAVUÇ,kg,15.0,25.0,20.0
25220,2024-09-23T00:00:00,SEBZE,ISPANAK,kg,15.0,35.0,25.0
25221,2024-09-23T00:00:00,SEBZE,KABAK TAZE,kg,15.0,35.0,25.0
25222,2024-09-24T00:00:00,SEBZE,Y.MAYDONOZ,bağ,3.0,6.0,4.5
25223,2024-09-24T00:00:00,SEBZE,Y.DEREOTU,bağ,3.0,8.0,5.5
25224,2024-09-24T00:00:00,SEBZE,Y.ROKA,bağ,3.0,6.0,4.5
25225,2024-09-24T00:00:00,SEBZE,Y.TERE,bağ,3.0,7.0,5.0
25226,2024-09-24T00:00:00,SEBZE,Y.NANE,bağ,3.0,6.0,4.5
25227,2024-09-24T00:00:00,MEYVE,INCIR,kg,40.0,100.0,70.0
25228,2024-09-24T00:00:00,MEYVE,ERİK  ANJELIKA,kg,10.0,20.0,15.0
25229,2024-09-24T00:00:00,MEYVE,ÜZÜM  SULTANİYE,kg,20.0,50.0,35.0
25230,2024-09-24T00:00:00,MEYVE,ELMA  GOLDEN,kg,10.0,25.0,17.5
25231,2024-09-24T00:00:00,MEYVE,ARMUT  DİĞER,kg,15.0,40.0,27.5
25232,2024-09-24T00:00:00,SEBZE,KAVUN  SERA,kg,10.0,20.0,15.0
25233,2024-09-24T00:00:00,MEYVE,NEKTARIN  BEYAZ,kg,20.0,50.0,35.0
25234,2024-09-24T00:00:00,İTHAL,AVAKADO,adet,25.0,55.0,40.0
25235,2024-09-24T00:00:00,SEBZE,DOMATES SALÇALIK(RİO),kg,5.0,10.0,7.5
25236,2024-09-24T00:00:00,SEBZE,DOMATES  BEEF,kg,15.0,32.0,23.5
25237,2024-09-24T00:00:00,MEYVE,KIVI  ,kg,60.0,110.0,85.0
25238,2024-09-24T00:00:00,İTHAL,ZENCEFİL,kg,80.0,150.0,115.0
25239,2024-09-24T00:00:00,İTHAL,BİBER KALİFORNİYA,kg,45.0,120.0,82.5
25240,2024-09-24T00:00:00,MEYVE,ÜZÜM  RED GLOBE,kg,25.0,55.0,40.0
25241,2024-09-24T00:00:00,MEYVE,ELMA GSMİT,kg,15.0,35.0,25.0
25242,2024-09-24T00:00:00,SEBZE,SALATALIK  SİLOR,kg,12.0,25.0,18.5
25243,2024-09-24T00:00:00,MEYVE,LİMON  YENİ (MAYER),kg,20.0,35.0,27.5
25244,2024-09-24T00:00:00,MEYVE,HÜNNAP,kg,20.0,50.0,35.0
25245,2024-09-24T00:00:00,MEYVE,ELMA  ARJANTİN,kg,15.0,30.0,22.5
25246,2024-09-24T00:00:00,MEYVE,ARMUT AKÇA,kg,20.0,40.0,30.0
25247,2024-09-24T00:00:00,SEBZE,SALATALIK   KORNİŞON,kg,15.0,40.0,27.5
25248,2024-09-24T00:00:00,MEYVE,ÜZÜM  BEYAZ,kg,30.0,55.0,42.5
25249,2024-09-24T00:00:00,MEYVE,ÜZÜM  SİYAH,kg,30.0,55.0,42.5
25250,2024-09-24T00:00:00,SEBZE,BİBER SALÇALIK,kg,10.0,20.0,15.0
25251,2024-09-24T00:00:00,SEBZE,DOMATES SALKIM  (İYİ TARIM),kg,20.0,50.0,35.0
25252,2024-09-24T00:00:00,SEBZE,DOMATES PEMBE,kg,20.0,45.0,32.5
25253,2024-09-24T00:00:00,SEBZE,HAVUÇ(TAKOZ),kg,10.0,20.0,15.0
25254,2024-09-24T00:00:00,MEYVE,LİMON LAMAS,kg,35.0,60.0,47.5
25255,2024-09-24T00:00:00,SEBZE,PATATES TAZE,kg,8.0,20.0,14.0
25256,2024-09-24T00:00:00,SEBZE,MANTAR (İSTİRİDYE),kg,65.0,120.0,92.5
25257,2024-09-24T00:00:00,SEBZE,BİBER KÖY(MAZO),kg,12.0,35.0,23.5
25258,2024-09-24T00:00:00,SEBZE,FASULYE CİNO,kg,30.0,65.0,47.5
25259,2024-09-24T00:00:00,SEBZE,DOMATES (KOKTEYL),kg,20.0,45.0,32.5
25260,2024-09-24T00:00:00,SEBZE,BİBER SİVRİ (DİĞER),kg,10.0,30.0,20.0
25261,2024-09-24T00:00:00,SEBZE,DOMATES AYAŞ,kg,10.0,18.0,14.0
25262,2024-09-24T00:00:00,SEBZE,HAVUÇ BEYPAZARI,kg,8.0,15.0,11.5
25263,2024-09-24T00:00:00,SEBZE,KAVUN KIRKAĞAÇ,kg,7.0,15.0,11.0
25264,2024-09-24T00:00:00,SEBZE,SALATALIK DİĞER,kg,8.0,20.0,14.0
25265,2024-09-24T00:00:00,SEBZE,SOĞAN MOR,kg,15.0,30.0,22.5
25266,2024-09-24T00:00:00,SEBZE,TURP DİĞER,kg,6.0,15.0,10.5
