_id,TARIH,MAL_TURU,MAL_ADI,BIRIM,ASGARI_UCRET,AZAMI_UCRET,ORTALAMA_UCRET
185,2024-01-03T00:00:00,SEBZE,DOMATES CHERRY,kg,8.0,40.0,24
186,2024-01-03T00:00:00,SEBZE,TURP  FINDIK,adet,5.0,12.0,8.5
187,2024-01-03T00:00:00,SEBZE,DOMATES  BEEF,kg,10.0,35.0,22.5
188,2024-01-03T00:00:00,MEYVE,KIVI  ,kg,10.0,55.0,32.5
189,2024-01-03T00:00:00,İTHAL,ZENCEFİL,kg,60.0,200.0,130
190,2024-01-03T00:00:00,İTHAL,BİBER KALİFORNİYA,kg,30.0,65.0,47.5
191,2024-01-03T00:00:00,MEYVE,ÜZÜM  RED GLOBE,kg,10.0,60.0,35
192,2024-01-03T00:00:00,MEYVE,ELMA GSMİT,kg,10.0,33.0,21.5
193,2024-01-03T00:00:00,İTHAL,ELMA STARKING(İTHAL),kg,10.0,50.0,30
194,2024-01-03T00:00:00,SEBZE,SALATALIK  SİLOR,kg,8.0,32.0,20
195,2024-01-03T00:00:00,MEYVE,HÜNNAP,kg,11.0,40.0,25.5
196,2024-01-03T00:00:00,MEYVE,ELMA  ARJANTİN,kg,10.0,32.0,21
197,2024-01-03T00:00:00,İTHAL,SARIMSAK  İTHAL,kg,20.0,140.0,80
198,2024-01-03T00:00:00,MEYVE,PORTAKAL WASHINGTON,kg,7.0,18.0,12.5
199,2024-01-03T00:00:00,MEYVE,ÜZÜM  BEYAZ,kg,10.0,75.0,42.5
200,2024-01-03T00:00:00,SEBZE,BİBER  MEKSİKA,kg,8.0,45.0,26.5
201,2024-01-03T00:00:00,MEYVE,ÜZÜM  SİYAH,kg,23.0,60.0,41.5
202,2024-01-03T00:00:00,SEBZE,ALABAŞ,kg,4.0,15.0,9.5
203,2024-01-03T00:00:00,MEYVE,MANDALİNA SATSUMA,kg,5.0,17.0,11
204,2024-01-03T00:00:00,SEBZE,DOMATES SALKIM  (İYİ TARIM),kg,10.0,30.0,20
205,2024-01-03T00:00:00,SEBZE,DOMATES PEMBE,kg,10.0,45.0,27.5
206,2024-01-03T00:00:00,SEBZE,HAVUÇ(TAKOZ),kg,5.0,26.0,15.5
207,2024-01-03T00:00:00,MEYVE,LİMON LAMAS,kg,6.0,17.0,11.5
208,2024-01-03T00:00:00,SEBZE,PATATES TAZE,kg,5.0,20.0,12.5
209,2024-01-03T00:00:00,SEBZE,MANTAR (İSTİRİDYE),kg,30.0,100.0,65
210,2024-01-03T00:00:00,SEBZE,BİBER KÖY(MAZO),kg,10.0,50.0,30
211,2024-01-03T00:00:00,SEBZE,LAHANA KARA,kg,10.0,18.0,14
212,2024-01-03T00:00:00,MEYVE,ELMA FUJİ,kg,9.0,30.0,19.5
213,2024-01-03T00:00:00,MEYVE,AYVA,kg,8.0,30.0,19
214,2024-01-03T00:00:00,MEYVE,ARMUT  S.MARIA,kg,10.0,50.0,30
215,2024-01-03T00:00:00,MEYVE,CILEK,kg,50.0,95.0,72.5
216,2024-01-03T00:00:00,MEYVE,ELMA  AMASYA,kg,10.0,32.0,21
217,2024-01-03T00:00:00,MEYVE,ELMA  STARKING,kg,15.0,30.0,22.5
218,2024-01-03T00:00:00,MEYVE,GREYFURT,kg,5.0,15.0,10
219,2024-01-03T00:00:00,SEBZE,KAVUN DİĞER,kg,5.0,45.0,25
220,2024-01-03T00:00:00,SEBZE,KARPUZ,kg,3.0,27.0,15
221,2024-01-04T00:00:00,SEBZE,FASULYE   AYSE,kg,10.0,80.0,45
222,2024-01-04T00:00:00,SEBZE,FASULYE   CALI,kg,10.0,50.0,30
223,2024-01-04T00:00:00,SEBZE,BARBUNYA TAZE,kg,20.0,50.0,35
224,2024-01-04T00:00:00,SEBZE,HAVUÇ,kg,5.0,14.0,9.5
225,2024-01-04T00:00:00,SEBZE,ISPANAK,kg,5.0,32.0,18.5
226,2024-01-04T00:00:00,SEBZE,KABAK TAZE,kg,10.0,35.0,22.5
227,2024-01-04T00:00:00,SEBZE,KABAK  BAL,kg,5.0,20.0,12.5
228,2024-01-04T00:00:00,SEBZE,KEREVIZ,kg,10.0,21.0,15.5
229,2024-01-04T00:00:00,SEBZE,MARUL,adet,5.0,20.0,12.5
230,2024-01-04T00:00:00,SEBZE,PATLICAN  UZUN,kg,8.0,30.0,19
231,2024-01-04T00:00:00,SEBZE,PATLICAN TOPAN,kg,8.0,35.0,21.5
232,2024-01-04T00:00:00,SEBZE,PANCAR,kg,5.0,20.0,12.5
233,2024-01-04T00:00:00,SEBZE,SOĞAN   TAZE,kg,10.0,45.0,27.5
234,2024-01-04T00:00:00,SEBZE,SOĞAN   KURU,kg,4.0,15.0,9.5
235,2024-01-04T00:00:00,SEBZE,LAHANA  KIRMIZI,kg,8.0,25.0,16.5
236,2024-01-04T00:00:00,SEBZE,KARNABAHAR,kg,5.0,30.0,17.5
237,2024-01-04T00:00:00,SEBZE,TURP  KIRMIZI,kg,4.0,25.0,14.5
238,2024-01-04T00:00:00,SEBZE,SEMIZ OTU,adet,8.0,15.0,11.5
239,2024-01-04T00:00:00,SEBZE,YAPRAK  SALAMURA,kg,10.0,50.0,30
240,2024-01-04T00:00:00,SEBZE,SARIMSAK  KURU,kg,15.0,100.0,57.5
241,2024-01-04T00:00:00,SEBZE,PATATES  CALMA,kg,5.0,23.0,14
242,2024-01-04T00:00:00,SEBZE,BİBER ÇARLİSTON,kg,10.0,35.0,22.5
243,2024-01-04T00:00:00,SEBZE,MARUL AYSBERG,adet,5.0,30.0,17.5
244,2024-01-04T00:00:00,SEBZE,MANTAR,kg,15.0,40.0,27.5
245,2024-01-04T00:00:00,SEBZE,SOĞAN   KIRMIZI,kg,10.0,30.0,20
246,2024-01-04T00:00:00,SEBZE,BİBER KIRMIZI,kg,13.0,38.0,25.5
247,2024-01-04T00:00:00,SEBZE,LAHANA  BEYAZ,kg,5.0,17.0,11
248,2024-01-04T00:00:00,SEBZE,PIRASA,kg,4.0,15.0,9.5
249,2024-01-04T00:00:00,SEBZE,PAZI,adet,4.0,24.0,14
250,2024-01-04T00:00:00,SEBZE,BİBER  KIL ACI,kg,10.0,60.0,35
251,2024-01-04T00:00:00,SEBZE,LAHANA  BURUKSEL,kg,10.0,50.0,30
252,2024-01-04T00:00:00,SEBZE,DOMATES (DİĞER),kg,7.0,40.0,23.5
253,2024-01-04T00:00:00,SEBZE,SALATALIK ,kg,8.0,40.0,24
254,2024-01-04T00:00:00,SEBZE,DOMATES  SALKIM,kg,12.0,38.0,25
255,2024-01-04T00:00:00,SEBZE,TURP  SIYAH,kg,3.0,20.0,11.5
256,2024-01-04T00:00:00,MEYVE,AYVA,kg,8.0,34.0,21
257,2024-01-04T00:00:00,MEYVE,ARMUT  S.MARIA,kg,10.0,42.0,26
258,2024-01-04T00:00:00,MEYVE,CILEK,kg,50.0,110.0,80
259,2024-01-04T00:00:00,MEYVE,ELMA  AMASYA,kg,10.0,32.0,21
260,2024-01-04T00:00:00,MEYVE,ELMA  STARKING,kg,15.0,31.0,23
261,2024-01-04T00:00:00,MEYVE,GREYFURT,kg,5.0,15.0,10
262,2024-01-04T00:00:00,SEBZE,KAVUN DİĞER,kg,5.0,45.0,25
263,2024-01-04T00:00:00,SEBZE,KARPUZ,kg,3.0,25.0,14
264,2024-01-04T00:00:00,MEYVE,NAR,kg,10.0,35.0,22.5
265,2024-01-04T00:00:00,MEYVE,KESTANE,kg,90.0,180.0,135
266,2024-01-04T00:00:00,MEYVE,MANDALİNA,kg,5.0,32.0,18.5
267,2024-01-04T00:00:00,SEBZE,MARUL KIVIRCIK,adet,5.0,30.0,17.5
268,2024-01-04T00:00:00,SEBZE,YERELMASI,kg,5.0,17.0,11
269,2024-01-04T00:00:00,SEBZE,DENIZ BÖRÜLCESİ,adet,4.0,30.0,17
270,2024-01-04T00:00:00,İTHAL,MANGO,adet,10.0,50.0,30
271,2024-01-04T00:00:00,MEYVE,ARMUT  DEVECI,kg,10.0,40.0,25
272,2024-01-04T00:00:00,SEBZE,MARUL LOLOROSSO,adet,5.0,30.0,17.5
273,2024-01-04T00:00:00,SEBZE,BİBER CİN,kg,4.0,50.0,27
274,2024-01-04T00:00:00,SEBZE,DOMATES CHERRY,kg,8.0,40.0,24
275,2024-01-04T00:00:00,SEBZE,TURP  FINDIK,adet,5.0,12.0,8.5
276,2024-01-04T00:00:00,SEBZE,DOMATES  BEEF,kg,10.0,38.0,24
277,2024-01-04T00:00:00,MEYVE,KIVI  ,kg,10.0,60.0,35
278,2024-01-04T00:00:00,İTHAL,ZENCEFİL,kg,60.0,180.0,120
279,2024-01-04T00:00:00,İTHAL,BİBER KALİFORNİYA,kg,30.0,65.0,47.5
280,2024-01-04T00:00:00,MEYVE,ÜZÜM  RED GLOBE,kg,10.0,60.0,35
281,2024-01-04T00:00:00,MEYVE,ELMA GSMİT,kg,10.0,33.0,21.5
282,2024-01-04T00:00:00,İTHAL,ELMA STARKING(İTHAL),kg,10.0,50.0,30
283,2024-01-04T00:00:00,SEBZE,SALATALIK  SİLOR,kg,8.0,35.0,21.5
